Destinazione,Attività,Temperatura,Budget,Cultura,Visitato
Roma,storica,calda,medio,europea,0
Londra,storica,fredda,alto,europea,0
Parigi,romantica,mite,alto,europea,0
Tokyo,moderna,calda,alto,asiatica,0
New York,multiculturale,calda,alto,americana,0
Barcellona,artistica,calda,medio,europea,0
Città del Messico,storica,calda,basso,nordamericana,0
Berlino,alternativa,mite,basso,europea,0
Sidney,costiera,calda,alto,australiana,0
Rio de Janeiro,tropicale,calda,basso,sudamericana,0
Bangkok,caotica,calda,basso,asiatica,0
Amsterdam,artistica,mite,medio,europea,0
San Francisco,trendy,calda,alto,americana,0
Madrid,storica,calda,medio,europea,0
Dubai,lussuosa,calda,alto,medio orientale,0
Mumbai,caotica,mite,basso,asiatica,0
Vienna,lussuosa,mite,alto,europea,0
Seoul,moderna,fredda,medio,asiatica,0
Firenze,artistica,calda,medio,europea,0
Los Angeles,divertente,calda,alto,americana,0
Hong Kong,moderna,mite,medio,asiatica,0
Istanbul,storica,mite,basso,medio orientale,0
Toronto,multiculturale,fredda,medio,nordamericana,0
San Paolo,multiculturale,calda,basso,sudamericana,0
Shanghai,moderna,mite,medio,asiatica,0
Venezia,romantica,mite,medio,europea,0
Napoli,caotica,calda,basso,europea,0
Matera,storica,calda,basso,europea,0
Bologna,accogliente,mite,medio,europea,0
Palermo,vivace,calda,basso,europea,0
Verona,romantica,mite,medio,europea,0
Genova,storica,mite,medio,europea,0
Lecce,barocca,calda,basso,europea,0
Trieste,multiculturale,mite,basso,europea,0
Helsinki,minimalista,fredda,alto,europea,0
Rio Grande,costiera,calda,basso,sudamericana,0
Marrakech,esotica,calda,basso,africana,0
Honolulu,tropicale,calda,alto,americana,0
Lisbona,artistica,mite,medio,europea,0
Dublino,storica,fredda,medio,europea,0
Buenos Aires,multiculturale,calda,alto,sudamericana,0
Atene,storica,calda,medio,europea,0
Reykjavik,artistica,fredda,alto,europea,0
Chiang Mai,rilassante,calda,basso,asiatica,0
Vancouver,multiculturale,mite,alto,nordamericana,0
Taipei,moderna,mite,basso,asiatica,0
Salonicco,storica,calda,medio,europea,0
Austin,trendy,calda,medio,americana,0
Copenhagen,minimalista,fredda,alto,europea,0
