Destinazione,Attività,Temperatura,Budget,Cultura,Visiterei
Copenhagen,minimalista,fredda,alto,europea,1
Vienna,lussuosa,mite,alto,europea,0
Salonicco,storica,calda,medio,europea,1
Palermo,vivace,calda,basso,europea,0
Firenze,artistica,calda,medio,europea,1
Matera,storica,calda,basso,europea,1
Berlino,alternativa,mite,basso,europea,1
Lisbona,artistica,mite,medio,europea,1
Barcellona,artistica,calda,medio,europea,1
Amsterdam,artistica,mite,medio,europea,1
Lecce,barocca,calda,basso,europea,0
Toronto,multiculturale,fredda,medio,nordamericana,1
Roma,storica,calda,medio,europea,0
Napoli,caotica,calda,basso,europea,0
Tokyo,moderna,calda,alto,asiatica,1
Atene,storica,calda,medio,europea,0
Taipei,moderna,mite,basso,asiatica,0
